Sample Name,MO (g dm3),P (mg dm3),K (cmol dm3),Cu (mg dm3),Fe (mgdm3),Zn (mgdm3),Mn (mgdm3),pH (CaCl2),Al (cmol dm3),Ca (cmol dm3),Mg (cmol dm3)
Amostra 100  ,"29,48","8,06","0,35","0,00","0,00","0,00","0,00","4,00","1,23","2,42","0,60"
Amostra 102  ,"52,27","7,65","0,45","0,00","0,00","0,00","0,00","5,70","0,00","10,70","1,50"
Amostra 103  ,"60,31","10,66","0,63","0,00","0,00","0,00","0,00","6,00","0,00","9,90","1,30"
Amostra 104  ,"58,97","6,84","0,65","0,00","0,00","0,00","0,00","5,60","0,00","10,50","1,70"
Amostra 105  ,"57,63","7,24","0,58","0,00","0,00","0,00","0,00","5,60","0,00","9,80","1,60"
Amostra 106  ,"62,99","12,04","0,63","0,00","0,00","0,00","0,00","5,70","0,00","10,80","1,40"
Amostra 107  ,"53,61","8,91","0,68","0,00","0,00","0,00","0,00","5,50","0,00","9,20","1,40"
Amostra 108  ,"40,21","4,52","0,25","0,00","0,00","0,00","0,00","4,60","0,36","6,10","0,90"
Amostra 109  ,"36,19","4,89","0,25","0,00","0,00","0,00","0,00","4,40","0,42","6,50","0,90"
Amostra 110  ,"30,83","9,34","0,48","0,00","0,00","0,00","0,00","5,10","0,00","10,60","1,20"
Amostra 111  ,"37,53","9,34","0,55","0,00","0,00","0,00","0,00","5,20","0,00","10,10","1,20"
Amostra 112  ,"33,51","10,21","0,88","0,00","0,00","0,00","0,00","4,70","0,17","5,70","0,90"
Amostra 113  ,"38,87","5,66","0,50","0,00","0,00","0,00","0,00","5,00","0,00","6,20","1,00"
Amostra 114  ,"42,89","2,01","0,50","0,00","0,00","0,00","0,00","4,45","0,74","3,50","1,10"
Amostra 115  ,"44,23","5,66","0,45","0,00","0,00","0,00","0,00","4,90","0,06","6,80","0,90"
Amostra 116  ,"40,21","9,77","0,25","0,00","0,00","0,00","0,00","5,10","0,00","6,30","1,00"
Amostra 117  ,"36,19","12,01","0,23","0,00","0,00","0,00","0,00","5,10","0,00","6,90","1,10"
Amostra 118  ,"40,21","9,77","0,25","0,00","0,00","0,00","0,00","5,10","0,00","6,70","1,20"
Amostra 119  ,"41,55","27,39","0,45","0,00","0,00","0,00","0,00","4,50","0,38","4,20","0,80"
Amostra 120  ,"38,87","25,20","0,25","0,00","0,00","0,00","0,00","4,80","0,13","5,20","1,00"
Amostra 122  ,"54,95","126,96","2,60","8,84","184,41","28,93","113,58","4,40","0,42","18,20","5,46"
Amostra 123  ,"52,27","149,46","1,95","16,79","143,84","85,00","247,91","6,20","0,00","15,70","5,40"
Amostra 124  ,"72,37","149,46","2,78","15,33","168,71","110,26","230,92","6,20","0,00","12,90","6,20"
Amostra 125  ,"57,63","149,46","1,53","13,24","164,68","71,80","192,32","6,40","0,00","12,20","1,40"
Amostra 130  ,"25,46","17,68","0,29","11,88","47,56","3,91","153,71","4,90","0,14","3,70","1,30"
Amostra 131  ,"25,46","32,27","0,70","9,63","51,10","6,80","237,28","5,30","0,00","5,90","2,10"
Amostra 132  ,"30,83","17,12","1,20","14,62","169,58","11,52","175,73","5,70","0,00","5,50","2,40"
Amostra 133  ,"32,17","8,06","0,83","15,30","91,73","8,95","180,73","5,10","0,00","3,40","1,70"
Amostra 134  ,"28,14","21,85","0,70","10,01","71,38","4,78","173,39","6,50","0,00","6,30","1,30"
Amostra 135  ,"28,14","35,01","0,83","13,25","61,90","7,57","177,05","6,20","0,00","5,70","2,10"
Amostra 136  ,"22,78","21,85","0,40","12,49","68,80","4,19","153,95","5,30","0,00","3,80","1,40"
Amostra 137  ,"29,48","25,20","0,30","10,19","61,85","5,98","161,51","5,30","0,00","4,80","2,10"
Amostra 138  ,"20,10","53,90","0,33","13,57","68,88","3,84","102,32","5,70","0,00","13,57","1,40"
Amostra 139  ,"30,83","15,51","0,40","8,25","61,98","5,00","141,12","5,80","0,00","6,50","2,50"
Amostra 140  ,"34,85","10,66","0,28","10,89","83,62","3,60","156,24","5,50","0,00","5,10","2,20"
Amostra 141  ,"36,19","35,98","0,45","7,36","55,29","6,01","176,44","5,20","0,00","7,10","3,10"
Amostra 142  ,"30,83","71,64","0,58","10,01","53,00","4,65","167,47","5,70","0,00","5,50","1,70"
Amostra 143  ,"33,51","26,64","0,25","9,10","54,39","5,24","131,13","5,30","0,00","5,30","2,70"
Amostra 144  ,"28,14","26,64","0,35","9,42","47,45","3,55","140,03","5,50","0,00","5,70","2,80"
Amostra 145  ,"22,78","30,56","0,65","11,17","79,04","4,36","143,45","6,00","0,00","6,60","2,40"
Amostra 146  ,"37,53","57,51","0,83","9,34","56,56","7,70","214,67","6,00","0,00","7,10","1,90"
Amostra 147  ,"34,85","53,90","0,58","10,00","43,22","7,52","291,12","6,20","0,00","7,50","2,40"
Amostra 148  ,"25,46","50,65","0,75","11,62","59,04","6,16","244,36","6,20","0,00","5,70","2,00"
Amostra 149  ,"34,85","30,56","0,43","12,48","44,23","5,84","200,51","5,90","0,00","5,40","2,00"
Amostra 150  ,"29,48","33,16","0,68","13,84","54,44","6,87","256,04","5,70","0,00","6,10","2,00"
Amostra 151  ,"26,80","42,49","0,45","9,39","53,97","6,90","241,79","5,70","0,00","5,40","1,80"
Amostra 152  ,"32,17","20,60","0,83","14,33","95,87","5,26","242,16","6,00","0,00","5,80","2,40"
Amostra 153  ,"34,85","32,27","0,78","9,52","26,24","6,29","273,36","5,90","0,00","5,80","2,50"
Amostra 154  ,"38,87","41,31","0,85","10,75","39,37","7,54","314,58","5,90","0,00","6,30","2,40"
Amostra 155  ,"30,83","44,99","0,55","9,97","41,66","6,93","264,01","6,00","0,00","6,20","2,40"
Amostra 156  ,"30,83","36,98","0,53","10,37","36,34","5,03","193,58","5,50","0,00","5,40","1,90"
Amostra 157  ,"37,53","49,14","0,65","8,44","28,94","7,19","217,05","5,70","0,00","4,90","2,60"
Amostra 158  ,"34,85","41,31","0,65","9,58","39,13","5,41","212,24","5,70","0,00","6,90","2,70"
Amostra 159  ,"33,51","43,72","0,88","9,54","39,97","6,27","173,18","5,70","0,00","6,00","2,50"
Amostra 160  ,"24,12","3,78","0,25","0,00","0,00","0,00","0,00","4,30","1,19","2,30","1,50"
Amostra 162  ,"21,44","149,46","0,18","10,29","5,22","46,79","272,88","6,30","0,00","10,20","5,30"
Amostra 163  ,"21,44","34,07","0,53","11,00","29,98","17,27","152,17","6,10","0,00","8,00","6,10"
Amostra 164  ,"20,10","14,48","0,68","11,80","36,53","14,95","203,57","5,60","0,00","5,80","2,40"
Amostra 165  ,"25,46","149,46","0,93","6,70","9,72","56,77","231,66","6,30","0,00","10,60","6,10"
Amostra 166,"24,12","35,01","1,20","7,55","38,73","25,34","145,49","6,20","0,00","5,70","3,70"
Amostra 167,"33,51","34,07","0,83","7,28","38,44","16,20","122,31","5,90","0,00","7,20","4,30"
