Sample Name,MO (gdm3),P (mgdm3),K(cmoldm3),Cu  (mgdm3),Fe  (mgdm3),Zn  (mgdm3),Mn  (mgdm3),pH (CaCl),Al (cmoldm3),Ca(cmoldm3),Mg(cmoldm3)
213 A,"5,36","0,97","0,01",0,0,0,0,"5,4",0,"2,5","0,5"
213 B,"5,36","0,97","0,01",0,0,0,0,"5,4",0,"2,5","0,5"
214 A,"8,04","37,4","0,08",0,0,0,0,"5,7",0,3,"0,3"
214 B,"8,04","37,4","0,08",0,0,0,0,"5,7",0,3,"0,3"
225 A,"9,3","0,65","0,04",0,0,0,0,"4,3","1,5","0,8","0,5"
225 B,"9,3","0,65","0,04",0,0,0,0,"4,3","1,5","0,8","0,5"
226 A,"4,02","0,97","0,03",0,0,0,0,"4,3","1,5","0,8","0,4"
226 B,"4,02","0,97","0,03",0,0,0,0,"4,3","1,5","0,8","0,4"
212 A,"10,72","1,3","0,02",0,0,0,0,"4,3","0,56","0,6","0,3"
212 B,"10,72","1,3","0,02",0,0,0,0,"4,3","0,56","0,6","0,3"
C2 A,"12,06","12,79","0,05",0,"115,97","0,16","55,25",5,0,"1,08","0,58"
C2 B,"12,06","12,79","0,05",0,"115,97","0,16","55,25",5,0,"1,08","0,58"
314 A,"16,08","17,95","0,15",0,0,0,0,"3,9","2,6","4,8","1,5"
314 B,"16,08","17,95","0,15",0,0,0,0,"3,9","2,6","4,8","1,5"
C9 A,"17,42","4,45","0,07",0,"103,94","0,3","38,64","4,7","0,18","0,62","0,38"
C9 B,"17,42","4,45","0,07",0,"103,94","0,3","38,64","4,7","0,18","0,62","0,38"
444 A,"18,76","3,01","0,15","2,37","561,27",0,"15,74","3,7","4,02","0,3","0,3"
444 B,"18,76","3,01","0,15","2,37","561,27",0,"15,74","3,7","4,02","0,3","0,3"
C8 A,"20,1","9,62","0,08","0,72","301,75","1,84","33,91","4,6","0,18","1,91","0,5"
C8 B,"20,1","9,62","0,08","0,72","301,75","1,84","33,91","4,6","0,18","1,91","0,5"
244 A,"21,44","0,97","0,05",0,"70,8",0,0,"3,9","2,26","0,29","0,21"
244 B,"21,44","0,97","0,05",0,"70,8",0,0,"3,9","2,26","0,29","0,21"
323 A,"22,78","22,78","0,1",0,0,0,0,"6,3",0,"7,1","4,8"
323 B,"22,78","22,78","0,1",0,0,0,0,"6,3",0,"7,1","4,8"
236 A,"24,12","5,19","0,36",0,0,0,0,"4,8","0,08","10,3","1,9"
236 B,"24,12","5,19","0,36",0,0,0,0,"4,8","0,08","10,3","1,9"
257 A,"25,46","20,27","0,34",0,0,0,0,4,1,"11,4","5,4"
257 B,"25,46","20,27","0,34",0,0,0,0,4,1,"11,4","5,4"
325 A,"26,8","1,98","0,21",0,0,0,0,"5,3",0,"7,9","3,2"
325 B,"26,8","1,98","0,21",0,0,0,0,"5,3",0,"7,9","3,2"
324 A,"29,48","3,01","0,49",0,0,0,0,"6,1",0,"7,5","5,2"
324 B,"29,48","3,01","0,49",0,0,0,0,"6,1",0,"7,5","5,2"
304 A,"26,8","20,27","0,47","21,81","92,59","12,17","181,65","5,1",0,"6,2","1,8"
304 B,"26,8","20,27","0,47","21,81","92,59","12,17","181,65","5,1",0,"6,2","1,8"
258 A,"28,14","12,32","0,77",0,0,0,0,"6,5",0,"6,7","2,9"
258 B,"28,14","12,32","0,77",0,0,0,0,"6,5",0,"6,7","2,9"
224 A,"29,48","6,34","0,19",0,0,0,0,"4,3","0,99","2,3","1,2"
224 B,"29,48","6,34","0,19",0,0,0,0,"4,3","0,99","2,3","1,2"
240 A,"30,83","4,08","0,11",0,0,0,0,"4,6","0,27","14,9","2,4"
240 B,"30,83","4,08","0,11",0,0,0,0,"4,6","0,27","14,9","2,4"
222 A,"32,17","31,75","0,61","14,1","68,86","9,23","179,92","5,7",0,9,"1,7"
222 B,"32,17","31,75","0,61","14,1","68,86","9,23","179,92","5,7",0,9,"1,7"
256 A,"33,51","1,3","0,04",0,0,0,0,"4,8","0,11","2,7","1,4"
